,Application ID,Application Status,Property Type,Property Sub Type,OnSite Sanitation Type,Door Number,Street Name,City,Pincode,Locality,District,State,Slum Name,Application Source,Desludging Entity,Longitude,Latitude,Geo Location Provided,Desludging Vehicle Number,Vehicle Type,Vehicle Capacity,Waste Collected,Waste Dumped,Vehicle In DateTime,Vehicle  Out DateTime,Fstp Plant Name,Payment Amount,Payment Status,Payment Source,Payment Instrument Type,Application Submitted Time,Pending payment Submitted Time,Assigned DSO Submitted Time,DSO Rejected Submitted Time,DSO Inprogress Submitted Time,Pending DSO Approval Submitted Time,Rejected Date Time,Cancelled Date Time,Citizen feedback Submitted Date Time,Application Completed Time,Rating,Scheduled Time,Waiting for disposalTime,Disposed Time,SLA Planned (In Days),SLA achieved
15,107-FSM-2021-02-17-217969,Application Created,Residential,Independent house,Conventional Spectic tank,23,Street 1,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Online,AGNR septic tank cleaning service,,,No,N/A,Bolero Pickup,0,0,0,N/A,N/A,,2000,New,Counter,CASH,17/02/2021 14:42:23,17/02/2021 18:24:14,17/02/2021 18:09:25,N/A,N/A,17/02/2021 18:13:35,N/A,N/A,N/A,,,,,,2,N/A
16,107-FSM-2021-02-16-217942,DSO Inprogress,Residential,Apartment,Conventional Spectic tank,second,first,Amritsar,,Ajit Nagar - Area1,Amritsar,Punjab,,Counter,AGNR septic tank cleaning service,,,No,TS 09 PA 2584,Bolero Pickup,5000,0,0,N/A,N/A,,2000,New,Counter,CASH,16/02/2021 17:09:26,16/02/2021 17:09:26,16/02/2021 17:11:30,N/A,16/02/2021 17:13:13,16/02/2021 17:13:03,N/A,N/A,N/A,,,,,,2,N/A
17,107-FSM-2021-06-17-002867,Citizen feedback pending,Residential,Independent house,N/A,N/A,N/A,Amritsar,,Ajit Nagar - Area1,Amritsar,Punjab,,Counter,Sparkle co,,,No,TS 09 PA 3586,TATA 407,1000,1000,2000,23/06/2021 08:46:00,23/06/2021 09:46:00,Amritsar FSTP,2220,New,Counter,CASH,17/06/2021 17:51:02,17/06/2021 17:51:02,17/06/2021 17:51:30,N/A,23/06/2021 09:45:44,17/06/2021 17:54:27,N/A,N/A,23/06/2021 09:45:53,,,,,,2,N/A
18,107-FSM-2021-01-28-215426,Pending for payment,Residential,Independent house,Septic tank with soak pit,asd,asd,Amritsar,,Back Side 66 KVA Grid Patiala Road - Area2,Amritsar,Punjab,,Counter,N/A,,,No,N/A,Bolero Pickup,0,0,0,N/A,N/A,,100,New,Counter,CASH,28/01/2021 20:31:46,28/01/2021 20:31:46,28/01/2021 20:45:03,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
19,107-FSM-2021-01-28-215431,Pending for payment,Residential,Independent house,Conventional Spectic tank,233,Test Street,Amritsar,,Ajit Nagar - Area1,Amritsar,Punjab,,Counter,N/A,,,No,N/A,Bolero Pickup,0,0,0,N/A,N/A,,200,New,Counter,CASH,28/01/2021 21:41:56,28/01/2021 21:41:56,28/01/2021 21:46:53,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
20,107-FSM-2021-01-28-215438,Pending for DSO Assignment,Residential,Independent house,Septic tank with soak pit,1331,Street Name 1,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Counter,N/A,,,No,N/A,,0,0,0,N/A,N/A,,1032,New,Counter,CASH,28/01/2021 23:31:18,28/01/2021 23:31:18,28/01/2021 23:36:57,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
21,107-FSM-2021-01-28-215445,Pending for DSO Assignment,Residential,Apartment,Conventional Spectic tank,377/333,ABC street,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Counter,N/A,,,No,N/A,,0,0,0,N/A,N/A,,300,Deposited,Online,ONLINE,29/01/2021 00:43:52,29/01/2021 00:43:52,29/01/2021 01:04:14,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
22,107-FSM-2021-01-28-215446,Pending for DSO Assignment,Residential,Independent house,Conventional Spectic tank,222,Test Street,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Counter,N/A,,,No,N/A,,0,0,0,N/A,N/A,,944,New,Counter,CASH,29/01/2021 01:28:02,29/01/2021 01:28:02,29/01/2021 01:29:45,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
23,107-FSM-2021-01-29-215455,Pending for DSO Assignment,Residential,Independent house,Septic tank with soak pit,32E,RAM STREET,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Counter,N/A,,,No,N/A,,0,0,0,N/A,N/A,,600,New,Counter,CASH,29/01/2021 08:55:11,29/01/2021 08:55:11,29/01/2021 08:57:25,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
24,107-FSM-2021-01-29-215453,Pending for payment,Residential,Independent house,Conventional Spectic tank,34,Nehru street,Amritsar,143002,Back Side 33 KVA Grid Patiala Road - Area1,Amritsar,Punjab,,Online,N/A,,,No,N/A,Bolero Pickup,0,0,0,N/A,N/A,,500,Deposited,Online,ONLINE,04/02/2021 15:28:51,29/01/2021 08:45:10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
25,107-FSM-2021-01-29-215459,Pending for DSO Assignment,Residential,Independent house,Conventional Spectic tank,N/A,GANDHI STREET,Amritsar,,Ajit Nagar - Area1,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,,0,0,0,N/A,N/A,,350,Deposited,Online,ONLINE,29/01/2021 09:14:13,29/01/2021 09:14:13,29/01/2021 09:15:56,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
26,107-FSM-2021-01-29-215465,Pending for DSO Assignment,Residential,Apartment,Conventional Spectic tank,N/A,DINES,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,,0,0,0,N/A,N/A,,399,New,Counter,CASH,29/01/2021 09:43:38,29/01/2021 09:43:38,29/01/2021 09:44:22,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
27,107-FSM-2021-01-29-215464,Pending for payment,Residential,Independent house,Conventional Spectic tank,N/A,SAM STREET 1ST CROSS,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Online,N/A,,,No,N/A,TATA LPT709/34,0,0,0,N/A,N/A,,444,Deposited,Online,ONLINE,04/02/2021 15:28:51,29/01/2021 09:39:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
28,107-FSM-2021-01-29-215472,Pending for DSO Assignment,Residential,Independent house,Conventional Spectic tank,25A,Gandhi street 1st cross,Amritsar,143002,Back Side 33 KVA Grid Patiala Road - Area1,Amritsar,Punjab,,Counter,N/A,,,No,N/A,,0,0,0,N/A,N/A,,399,Deposited,Online,ONLINE,29/01/2021 10:10:47,29/01/2021 10:10:47,29/01/2021 10:13:00,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
29,107-FSM-2021-01-29-215469,Pending for DSO Assignment,Residential,Independent house,Conventional Spectic tank,N/A,ganshi,Amritsar,,Ajit Nagar - Area1,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,,0,0,0,N/A,N/A,,776,New,Counter,CASH,29/01/2021 09:56:12,29/01/2021 09:56:12,29/01/2021 10:26:38,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
30,107-FSM-2021-02-02-215820,Pending for DSO Assignment,Residential,Independent house,Conventional Spectic tank,220,M G road,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,,0,0,0,N/A,N/A,,200,Deposited,Online,ONLINE,02/02/2021 19:19:27,02/02/2021 19:19:27,02/02/2021 19:26:19,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
31,107-FSM-2021-06-23-002922,Pending for DSO Assignment,Residential,Apartment,Conventional Spectic tank,111,M G road,Amritsar,,Ajit Nagar - Area1,Amritsar,Punjab,Kathagada juanga sahi,Counter,N/A,,,No,N/A,TATA 407,0,0,0,N/A,N/A,,1500,New,Counter,CASH,23/06/2021 11:32:30,23/06/2021 11:32:30,23/06/2021 11:35:06,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
32,1013-FSM-2021-06-23-002923,Citizen feedback pending,Residential,Independent house,Septic tank with soak pit,N/A,N/A,Jalandhar,,Main Road Abadpura,Jalandhar,Punjab,Kathagada juanga sahi,Counter,Y.S Cleaners,,,No,TS 09 PA 3586,TATA 407,1000,1000,2000,23/06/2021 11:00:00,23/06/2021 12:00:00,Amritsar FSTP,824,New,Counter,CASH,23/06/2021 11:46:29,23/06/2021 11:46:29,23/06/2021 11:48:44,N/A,23/06/2021 11:59:02,23/06/2021 11:51:45,N/A,N/A,23/06/2021 11:59:10,,,,,,2,N/A
33,1013-FSM-2021-06-23-002924,Citizen feedback pending,Residential,Independent house,Conventional Spectic tank,N/A,N/A,Jalandhar,,Main Road Abadpura,Jalandhar,Punjab,Kathagada juanga sahi,Counter,Y.S Cleaners,,,No,TS 09 PA 2584,Bolero Pickup,5000,5000,1900,23/06/2021 09:00:00,23/06/2021 12:25:00,Amritsar FSTP,824,New,Counter,CASH,23/06/2021 12:15:25,23/06/2021 12:15:25,23/06/2021 12:17:32,N/A,23/06/2021 12:22:52,23/06/2021 12:19:53,N/A,N/A,23/06/2021 12:23:03,,,,,,2,N/A
34,107-FSM-2021-02-03-215913,Pending for payment,Residential,Independent house,Conventional Spectic tank,101,Church Street,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,Bolero Pickup,0,0,0,N/A,N/A,,200,Deposited,Online,ONLINE,04/02/2021 15:28:51,03/02/2021 14:43:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
35,107-FSM-2021-02-03-216117,Pending for DSO Assignment,Residential,Apartment,Septic tank with soak pit,234,Street 1,Amritsar,140003,Ajit Nagar - Area1,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,,0,0,0,N/A,N/A,,1000,New,Counter,CASH,03/02/2021 10:59:59,03/02/2021 19:52:11,03/02/2021 19:55:39,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
36,107-FSM-2021-02-04-216141,Pending for DSO Assignment,Residential,Independent house,Conventional Spectic tank,321,M G road,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,,0,0,0,N/A,N/A,,1000,Deposited,Online,ONLINE,04/02/2021 16:22:10,04/02/2021 16:22:10,04/02/2021 16:26:52,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
37,107-FSM-2021-02-04-216142,Pending for DSO Assignment,Residential,Apartment,Conventional Spectic tank,1,Street23,Amritsar,143004,Back Side Civil Courts Colony - Area1,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,,0,0,0,N/A,N/A,,1000,New,Counter,CASH,03/02/2021 10:59:59,04/02/2021 17:19:37,04/02/2021 17:26:49,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
38,1703-FSM-2021-06-23-002925,Citizen feedback pending,Residential,Independent house,Septic tank with soak pit,N/A,N/A,Nawanshahr,,Shanti Nagar - B1 - A1,Nawanshahr,Punjab,Kathagada juanga sahi,Telephone,Srijeyam septic tank cleaning and toilet works,,,No,TS 09 PA 2584,Bolero Pickup,5000,5000,1500,23/06/2021 12:15:00,23/06/2021 12:52:00,Mohali SeTPP,824,New,Counter,CASH,23/06/2021 12:36:09,23/06/2021 12:36:09,23/06/2021 12:39:48,N/A,23/06/2021 12:50:45,23/06/2021 12:45:22,N/A,N/A,23/06/2021 12:50:51,,,,,,2,N/A
39,107-FSM-2021-02-04-216131,Pending for DSO Assignment,Residential,Independent house,Conventional Spectic tank,10,abc,Amritsar,,Mohalla Singh kia - Area2,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,,0,0,0,N/A,N/A,,0,New,Counter,CASH,04/02/2021 18:05:17,05/02/2021 13:11:17,05/02/2021 13:14:02,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
40,107-FSM-2021-02-04-216132,Pending for DSO Assignment,Residential,Independent house,Septic tank with soak pit,3,ajit,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,,0,0,0,N/A,N/A,,0,New,Counter,CASH,04/02/2021 18:05:17,05/02/2021 14:42:56,05/02/2021 14:56:34,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
41,1502-FSM-2021-06-23-002926,Citizen feedback pending,Residential,Apartment,Septic tank with soak pit,N/A,N/A,Derabassi,,GOLDEN PALM - W1,Derabassi,Punjab,Kathagada juanga sahi,Counter,Jagadamba cleaning service,,,No,TS 09 PA 3586,TATA 407,1000,1000,1890,23/06/2021 13:00:00,23/06/2021 13:06:00,Mohali SeTPP,480,New,Counter,CASH,23/06/2021 12:56:42,23/06/2021 12:56:42,23/06/2021 12:58:42,N/A,23/06/2021 13:03:21,23/06/2021 13:01:55,N/A,N/A,23/06/2021 13:03:28,,,,,,2,N/A
42,107-FSM-2021-02-08-216447,Pending for DSO Assignment,Commercial,Hotel,Conventional Spectic tank,3,abc,Amritsar,143002,Back Side 33 KVA Grid Patiala Road - Area1,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,,0,0,0,N/A,N/A,,100,New,Counter,CASH,08/02/2021 12:41:00,08/02/2021 12:41:00,08/02/2021 12:42:12,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
43,107-FSM-2021-02-08-216359,Pending for DSO Assignment,Institutional,Jail,Conventional Spectic tank,101,Bank road,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Online,N/A,,,No,N/A,,0,0,0,N/A,N/A,,800,New,Counter,CASH,08/02/2021 11:34:59,08/02/2021 12:05:04,08/02/2021 12:57:48,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
44,107-FSM-2021-02-10-217375,Rejected,Institutional,Temple,Conventional Spectic tank,220,Bank road,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Online,N/A,,,No,N/A,Sonalika Tractor 35DI,0,0,0,N/A,N/A,,0,New,Counter,CASH,10/02/2021 19:10:18,10/02/2021 23:09:57,10/02/2021 23:17:23,N/A,N/A,N/A,15/02/2021 17:41:32,N/A,N/A,,,,,,2,N/A
45,107-FSM-2021-02-08-216816,Pending for DSO Assignment,Commercial,Community toilets,Conventional Spectic tank,11,awert,Amritsar,143002,Back Side 33 KVA Grid Patiala Road - Area1,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,,0,0,0,N/A,N/A,,1000000,New,Counter,CASH,08/02/2021 23:40:26,08/02/2021 23:40:26,08/02/2021 23:45:07,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
46,107-FSM-2021-02-09-216817,Pending for DSO Assignment,Residential,Apartment,Conventional Spectic tank,3,ab,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,,0,0,0,N/A,N/A,,100,New,Counter,CASH,09/02/2021 09:15:43,09/02/2021 09:15:43,09/02/2021 09:16:24,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
47,107-FSM-2021-02-09-216820,Citizen feedback pending,Institutional,School,Conventional Spectic tank,1111,MG road,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Online,R.Vadivel septic tank cleaning services,,,No,TS 09 PA 2584,Bolero Pickup,5000,5000,5000,16/06/2021 14:00:00,16/06/2021 19:03:00,Amritsar FSTP,500,New,Counter,CASH,09/02/2021 11:43:32,09/02/2021 11:50:03,09/02/2021 12:19:46,N/A,06/03/2021 18:54:02,18/02/2021 13:27:30,N/A,N/A,16/06/2021 18:13:57,,,,,,2,N/A
48,107-FSM-2021-02-09-216826,Citizen feedback pending,Residential,Apartment,Conventional Spectic tank,tesr,344,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Counter,R.Vadivel septic tank cleaning services,,,No,TN 45 Q 6656,Bolero Pickup,5000,5000,2000,01/01/1970 05:30:00,09/03/2021 20:44:00,Amritsar FSTP,500,New,Counter,CASH,09/02/2021 15:36:43,09/02/2021 15:36:43,09/02/2021 15:38:35,N/A,07/03/2021 09:49:31,18/02/2021 13:18:23,N/A,N/A,09/03/2021 19:51:41,,,,,,2,N/A
49,107-FSM-2021-02-17-217957,Citizen feedback pending,Residential,Apartment,Conventional Spectic tank,my door,my streat,amritsar,1234,Mohalla Singh kia - Area2,amritsar,Punjab,,Telephone,Sparkle company,,,No,PB 10 PA 2411,TATA 407,1000,1000,200,01/01/1970 05:30:00,03/04/2021 15:32:00,Amritsar FSTP,100,New,Counter,CASH,17/02/2021 10:30:07,17/02/2021 10:30:07,17/02/2021 10:40:24,07/03/2021 09:55:34,18/03/2021 19:13:50,17/02/2021 10:48:04,N/A,N/A,26/03/2021 15:49:04,,,,,,2,N/A
50,107-FSM-2021-02-11-217435,Pending for DSO Approval,Commercial,Hotel,Septic tank with soak pit,234,Street Name 1,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Counter,Jagadamba cleaning Dept Service,,,No,N/A,TATA LPT709/34,0,0,0,N/A,N/A,,200,New,Counter,CASH,11/02/2021 10:32:34,11/02/2021 10:32:34,11/02/2021 10:36:00,N/A,N/A,17/02/2021 08:59:04,N/A,N/A,N/A,,,,,,2,N/A
51,107-FSM-2021-02-11-217439,Rejected,Residential,Independent house,Conventional Spectic tank,N/A,N/A,Amritsar,143002,Back Side 33 KVA Grid Patiala Road - Area1,Amritsar,Punjab,,Online,N/A,,,No,N/A,Bolero Pickup,0,0,0,N/A,N/A,,0,New,Counter,CASH,11/02/2021 12:29:05,11/02/2021 12:35:30,11/02/2021 12:36:08,N/A,N/A,N/A,11/02/2021 12:39:19,N/A,N/A,,,,,,2,N/A
52,107-FSM-2021-02-11-217443,DSO Inprogress,Residential,Independent house,Conventional Spectic tank,222,M G road,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Counter,AGNR septic tank cleaning service,,,No,N/A,Sonalika Tractor 35DI,0,0,0,N/A,N/A,,1600,New,Counter,CASH,11/02/2021 13:14:10,11/02/2021 13:14:10,11/02/2021 13:15:26,N/A,16/02/2021 17:41:12,11/02/2021 16:28:40,N/A,N/A,N/A,,,,,,2,N/A
53,107-FSM-2021-02-11-217600,DSO Inprogress,Commercial,Hotel,Conventional Spectic tank,321,M G road,Amritsar,143002,Back Side 33 KVA Grid Patiala Road - Area1,Amritsar,Punjab,,Counter,AGNR septic tank cleaning service,,,No,TS 09 PA 2584,Bolero Pickup,5000,0,0,N/A,N/A,,500,New,Counter,CASH,11/02/2021 18:21:18,11/02/2021 18:21:18,11/02/2021 18:43:20,N/A,16/02/2021 16:06:40,16/02/2021 16:05:35,N/A,N/A,N/A,,,,,,2,N/A
54,107-FSM-2021-02-11-217601,Rejected,Institutional,Temple,Conventional Spectic tank,909,Bank road,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Online,N/A,,,No,N/A,TATA 407,0,0,0,N/A,N/A,,0,New,Counter,CASH,11/02/2021 18:37:54,11/02/2021 18:57:23,11/02/2021 19:05:18,N/A,N/A,N/A,15/02/2021 17:54:21,N/A,N/A,,,,,,2,N/A
